14502 (out of 400168) words in dict
360634 training, 39534 testing
136394 restaurants created
204.452kB of test data
ITER 257: d0 = 0.668; d1 = 0.834; d2 = 0.888; PPLX 2^7.48 = 178.1
ITER 258: d0 = 0.689; d1 = 0.806; d2 = 0.891; PPLX 2^7.47 = 176.8
ITER 259: d0 = 0.660; d1 = 0.805; d2 = 0.908; PPLX 2^7.47 = 176.9
ITER 260: d0 = 0.725; d1 = 0.816; d2 = 0.893; PPLX 2^7.47 = 177.2
ITER 261: d0 = 0.692; d1 = 0.840; d2 = 0.880; PPLX 2^7.47 = 177.7
ITER 262: d0 = 0.666; d1 = 0.841; d2 = 0.883; PPLX 2^7.48 = 178.2
ITER 263: d0 = 0.700; d1 = 0.786; d2 = 0.904; PPLX 2^7.47 = 176.9
ITER 264: d0 = 0.710; d1 = 0.804; d2 = 0.897; PPLX 2^7.47 = 176.8
ITER 265: d0 = 0.726; d1 = 0.797; d2 = 0.888; PPLX 2^7.46 = 176.3
ITER 266: d0 = 0.691; d1 = 0.825; d2 = 0.880; PPLX 2^7.47 = 177.0
ITER 267: d0 = 0.708; d1 = 0.785; d2 = 0.907; PPLX 2^7.46 = 176.1
ITER 268: d0 = 0.647; d1 = 0.819; d2 = 0.903; PPLX 2^7.47 = 177.4
ITER 269: d0 = 0.709; d1 = 0.831; d2 = 0.889; PPLX 2^7.48 = 177.9
ITER 270: d0 = 0.766; d1 = 0.796; d2 = 0.892; PPLX 2^7.46 = 176.3
ITER 271: d0 = 0.648; d1 = 0.798; d2 = 0.891; PPLX 2^7.46 = 176.4
ITER 272: d0 = 0.688; d1 = 0.794; d2 = 0.889; PPLX 2^7.47 = 176.7
ITER 273: d0 = 0.766; d1 = 0.794; d2 = 0.908; PPLX 2^7.46 = 176.4
