58714 (out of 1561360) words in dict
1521826 training, 39534 testing
587155 restaurants created
204.452kB of test data
ITER 245: d0 = 0.707; d1 = 0.817; d2 = 0.891; PPLX 2^7.58 = 190.7
ITER 246: d0 = 0.680; d1 = 0.832; d2 = 0.895; PPLX 2^7.58 = 191.5
ITER 247: d0 = 0.704; d1 = 0.817; d2 = 0.909; PPLX 2^7.58 = 191.3
ITER 248: d0 = 0.681; d1 = 0.833; d2 = 0.901; PPLX 2^7.58 = 191.9
ITER 249: d0 = 0.748; d1 = 0.801; d2 = 0.892; PPLX 2^7.57 = 190.4
ITER 250: d0 = 0.723; d1 = 0.806; d2 = 0.919; PPLX 2^7.58 = 190.9
ITER 251: d0 = 0.650; d1 = 0.829; d2 = 0.913; PPLX 2^7.59 = 192.1
ITER 252: d0 = 0.749; d1 = 0.804; d2 = 0.895; PPLX 2^7.57 = 190.3
ITER 253: d0 = 0.685; d1 = 0.808; d2 = 0.910; PPLX 2^7.58 = 191.0
ITER 254: d0 = 0.674; d1 = 0.815; d2 = 0.904; PPLX 2^7.58 = 191.0
ITER 255: d0 = 0.706; d1 = 0.824; d2 = 0.896; PPLX 2^7.58 = 191.2
ITER 256: d0 = 0.661; d1 = 0.835; d2 = 0.897; PPLX 2^7.58 = 191.7
ITER 257: d0 = 0.728; d1 = 0.831; d2 = 0.904; PPLX 2^7.58 = 191.7
ITER 258: d0 = 0.668; d1 = 0.839; d2 = 0.903; PPLX 2^7.59 = 192.0
ITER 259: d0 = 0.694; d1 = 0.851; d2 = 0.898; PPLX 2^7.59 = 192.5
ITER 260: d0 = 0.731; d1 = 0.810; d2 = 0.913; PPLX 2^7.58 = 190.9
ITER 261: d0 = 0.728; d1 = 0.798; d2 = 0.896; PPLX 2^7.57 = 190.4
ITER 262: d0 = 0.664; d1 = 0.806; d2 = 0.911; PPLX 2^7.58 = 190.8
ITER 263: d0 = 0.732; d1 = 0.828; d2 = 0.918; PPLX 2^7.58 = 192.0
ITER 264: d0 = 0.709; d1 = 0.797; d2 = 0.898; PPLX 2^7.57 = 190.1
ITER 265: d0 = 0.702; d1 = 0.828; d2 = 0.902; PPLX 2^7.58 = 191.4
ITER 266: d0 = 0.680; d1 = 0.819; d2 = 0.894; PPLX 2^7.58 = 191.1
ITER 267: d0 = 0.706; d1 = 0.849; d2 = 0.902; PPLX 2^7.59 = 192.6
ITER 268: d0 = 0.728; d1 = 0.859; d2 = 0.897; PPLX 2^7.59 = 192.6
ITER 269: d0 = 0.714; d1 = 0.807; d2 = 0.896; PPLX 2^7.57 = 190.4
ITER 270: d0 = 0.739; d1 = 0.842; d2 = 0.908; PPLX 2^7.59 = 192.2
ITER 271: d0 = 0.671; d1 = 0.820; d2 = 0.911; PPLX 2^7.58 = 191.6
ITER 272: d0 = 0.771; d1 = 0.798; d2 = 0.903; PPLX 2^7.57 = 190.5
ITER 273: d0 = 0.717; d1 = 0.837; d2 = 0.908; PPLX 2^7.59 = 192.2
